#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:D_mel_TE_RT_protein" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:D_mel_TE_RT_protein" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:D_mel_TE_RT_protein" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.D_mel_TE_RT_protein" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:D_mel_TE_RT_protein" name="distribution" x="@birthRate.t:D_mel_TE_RT_protein">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@D_mel_TE_RT_protein" id="treeLikelihood.D_mel_TE_RT_protein" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:D_mel_TE_RT_protein">
#            <siteModel id="SiteModel.s:D_mel_TE_RT_protein" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:D_mel_TE_RT_protein" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:D_mel_TE_RT_protein" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:D_mel_TE_RT_protein" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="Blosum62.s:D_mel_TE_RT_protein" spec="beast.base.evolution.substitutionmodel.Blosum62"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:D_mel_TE_RT_protein" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:D_mel_TE_RT_protein" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-7910.544826700244	-7901.901806250869	-8.643020449374472	-7901.901806250869	2.13579030595921	8.643020449374474	-8.643020449374472	1.0
1000	-5711.390703462328	-5701.224682327492	-10.166021134836363	-5701.224682327492	1.6025089770914123	10.509497406259873	-10.166021134836363	1.1292908252320815
2000	-5619.431388947461	-5609.397352742002	-10.03403620545883	-5609.397352742002	1.5802165087340214	10.072252583701676	-10.03403620545883	1.8551557803031387
3000	-5605.8940444923655	-5595.977411930743	-9.916632561622448	-5595.977411930743	1.5732793978749477	10.120001809379291	-9.916632561622448	1.7690685257845435
4000	-5604.925687624802	-5594.848733409688	-10.076954215113439	-5594.848733409688	1.8721728724232465	10.531058793386151	-10.076954215113439	1.2070960752139097
5000	-5604.672978434874	-5594.371810642072	-10.301167792801346	-5594.371810642072	1.6933521572701422	10.709657932305248	-10.301167792801346	1.1978499969225775
6000	-5606.902320782903	-5597.196414670678	-9.705906112225108	-5597.196414670678	1.60357897780351	10.258094394254892	-9.705906112225108	1.2425192850570737
7000	-5607.6944415494545	-5598.060763532975	-9.633678016479418	-5598.060763532975	1.7583027567755767	10.10287188922504	-9.633678016479418	1.1639958289620613
8000	-5604.647509839212	-5594.38196299124	-10.26554684797282	-5594.38196299124	1.7153340187850075	9.96018354018545	-10.26554684797282	2.016474625262253
9000	-5608.718229927848	-5600.035268082317	-8.682961845531722	-5600.035268082317	1.3432557876426534	9.36003834205276	-8.682961845531722	1.1985229453755366
10000	-5605.436226262222	-5596.317828594244	-9.118397667978044	-5596.317828594244	1.494014185963726	9.78661133139443	-9.118397667978044	1.6352347030519405
11000	-5604.671727713822	-5594.218811534264	-10.452916179558455	-5594.218811534264	1.7853915526563977	10.449987546731464	-10.452916179558455	1.750024082795333
12000	-5609.681875936619	-5598.32221774532	-11.359658191298617	-5598.32221774532	1.4897730642914884	9.322402139889999	-11.359658191298617	0.7152416106139332
13000	-5604.423693577805	-5594.3555169718	-10.068176606005077	-5594.3555169718	1.6835816370269359	10.338519426490043	-10.068176606005077	1.6608813692987314
14000	-5605.243627461505	-5594.449065364172	-10.794562097332005	-5594.449065364172	1.6949134433086668	10.516371623810183	-10.794562097332005	1.8334891152365826
15000	-5609.351988952547	-5597.710086295006	-11.641902657541767	-5597.710086295006	1.6543331678855906	10.142422496969829	-11.641902657541767	0.7491169821595577
