#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:spoink-insertions" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:spoink-insertions" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:spoink-insertions" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.spoink-insertions" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:spoink-insertions" name="distribution" x="@birthRate.t:spoink-insertions">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@spoink-insertions" id="treeLikelihood.spoink-insertions" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:spoink-insertions">
#            <siteModel id="SiteModel.s:spoink-insertions" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:spoink-insertions" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:spoink-insertions" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:spoink-insertions" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:spoink-insertions" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:spoink-insertions" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:spoink-insertions" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
0	-70933.52283646821	-70924.45103933793	-9.071797130280892	-70924.45103933793	1.630645917910333	9.071797130280896	-9.071797130280892	1.0
1000	-43120.73014666	-43228.30345876745	107.57331210744971	-43228.30345876745	0.47602722852422974	3.5030309180200376	107.57331210744971	17.44866716448781
2000	-35366.23752937317	-35516.021068996364	149.7835396231942	-35516.021068996364	0.22818572340051368	1.6984804268368972	149.7835396231942	39.636096001908456
3000	-32628.574609333176	-32802.615771609606	174.04116227642933	-32802.615771609606	0.14097359325687903	1.1100691601583867	174.04116227642933	42.49411024589811
4000	-30739.38265601127	-30940.57088746118	201.1882314499121	-30940.57088746118	0.0989772300820533	0.7087420340212022	201.1882314499121	71.08875025472045
5000	-29690.65457812883	-29902.42251034115	211.76793221232364	-29902.42251034115	0.11533460261309661	0.5987827650364751	211.76793221232364	93.96963139326226
6000	-28846.7670793438	-29068.380272907718	221.61319356391627	-29068.380272907718	0.09583313428202572	0.498241019617492	221.61319356391627	97.3176210089632
7000	-27791.518500418704	-28019.564254261604	228.0457538429015	-28019.564254261604	0.08168661538012417	0.45491475103880713	228.0457538429015	129.5767467867546
8000	-27452.702399371163	-27675.985061084186	223.28266171302246	-27675.985061084186	0.09993168942536326	0.49310689352083603	223.28266171302246	117.84522271405547
9000	-27283.999581421584	-27506.822513850984	222.82293242940102	-27506.822513850984	0.10064652961488206	0.4911645546496388	222.82293242940102	102.564013892273
10000	-26966.784734256667	-27195.328945238136	228.54421098146761	-27195.328945238136	0.09018838342073619	0.4507452904517445	228.54421098146761	125.85848771255942
11000	-26790.829377919803	-27016.891585126894	226.06220720709064	-27016.891585126894	0.09316508712097804	0.47046588156551783	226.06220720709064	125.85848771255942
12000	-26668.920176470652	-26901.281779290104	232.3616028194531	-26901.281779290104	0.08396213722979559	0.4204144648764081	232.3616028194531	125.85848771255942
13000	-26585.346443299346	-26810.615421129387	225.26897783003932	-26810.615421129387	0.09494457757179468	0.47676843128996016	225.26897783003932	125.85848771255942
14000	-26490.813820639283	-26720.03209134905	229.21827070976866	-26720.03209134905	0.089034575807039	0.445508035836382	229.21827070976866	138.51103504085376
15000	-26366.17969713875	-26594.9505959283	228.77089878955474	-26594.9505959283	0.09414652151542402	0.4481229102236385	228.77089878955474	122.13208196400538
16000	-26261.03953215271	-26488.765246476505	227.725714323795	-26488.765246476505	0.09232185226734585	0.45362595547232065	227.725714323795	114.05274116171927
17000	-26088.18352909218	-26318.943835698796	230.76030660661564	-26318.943835698796	0.0910556948727075	0.43444081103054993	230.76030660661564	134.5751379903851
18000	-26053.652170349375	-26281.809694588308	228.15752423893255	-26281.809694588308	0.09812786742077981	0.4508206231457053	228.15752423893255	147.1483369999964
19000	-26019.87508659508	-26250.239121787872	230.36403519279372	-26250.239121787872	0.09126319437386873	0.43482339288275196	230.36403519279372	150.93508094495056
20000	-26022.246272493903	-26252.5948338604	230.3485613664979	-26252.5948338604	0.09393072560606135	0.42830736090605354	230.3485613664979	111.27687105666224
21000	-26040.396481197015	-26266.686985144017	226.290503947003	-26266.686985144017	0.09498901544467918	0.45126249650197603	226.290503947003	98.00761077949676
22000	-26030.690965232876	-26259.537168517185	228.8462032843094	-26259.537168517185	0.09365346216785514	0.44674146536730197	228.8462032843094	145.0894422878429
