query_sequence	position_in_query_begin	position_in_query_end	strand	position_in_repeat_begin	position_in_repeat_end	strain
CM034718.1	6130345	6130927	C	4679	5258	Es_Ten
CM034718.1	6130870	6135568	C	2	4669	Es_Ten
CM034718.1	14085675	14086243	C	4691	5258	Es_Ten
CM034718.1	14086194	14090852	C	3	4669	Es_Ten
CM034718.1	20111890	20116511	+	2	4669	Es_Ten
CM034718.1	20116464	20117035	+	4691	5258	Es_Ten
CM034718.1	20122293	20122860	C	4691	5258	Es_Ten
CM034718.1	20122813	20127433	C	2	4669	Es_Ten
CM034718.1	20157002	20161665	+	2	4669	Es_Ten
CM034718.1	20161632	20162182	+	4701	5258	Es_Ten
CM034719.1	1032192	1032776	+	2	585	Es_Ten
CM034719.1	1032772	1036771	+	700	4669	Es_Ten
CM034719.1	1036714	1037291	+	4679	5258	Es_Ten
CM034719.1	7371629	7372199	C	4691	5258	Es_Ten
CM034719.1	7372151	7372581	C	4232	4669	Es_Ten
CM034719.1	7372598	7373861	C	1850	3116	Es_Ten
CM034719.1	7373916	7375852	C	33	1979	Es_Ten
CM034719.1	13687654	13692273	+	2	4669	Es_Ten
CM034719.1	13692225	13692798	+	4691	5258	Es_Ten
CM034719.1	22942729	22945026	+	2054	4438	Es_Ten
CM034719.1	22944938	22945124	+	4416	4609	Es_Ten
CM034720.1	6178713	6179260	C	4712	5258	Es_Ten
CM034720.1	6179231	6183889	C	2	4669	Es_Ten
CM034720.1	7613583	7618053	C	93	4609	Es_Ten
CM034721.1	128609	128682	+	2	75	Es_Ten
CM034721.1	128668	129053	+	265	651	Es_Ten
CM034721.1	129044	132215	+	1343	4514	Es_Ten
CM034721.1	132104	132441	+	4325	4669	Es_Ten
CM034721.1	132393	132719	+	4691	5011	Es_Ten
CM034721.1	132705	132790	+	265	351	Es_Ten
CM034721.1	18650969	18655626	+	2	4669	Es_Ten
CM034721.1	18655581	18656148	+	4692	5258	Es_Ten
CM034721.1	22186519	22187094	C	4679	5258	Es_Ten
CM034721.1	22187037	22191688	C	3	4669	Es_Ten
CM034721.1	23820473	23820553	+	4536	4608	Es_Ten
CM034721.1	25756959	25757453	+	1976	2471	Es_Ten
CM034721.1	25792770	25793746	+	1976	2984	Es_Ten
CM034721.1	25793761	25795131	+	3033	4413	Es_Ten
CM034721.1	25795045	25795242	+	4402	4609	Es_Ten
CM034721.1	27403160	27403390	+	4322	4514	Es_Ten
CM034721.1	27415219	27415449	+	4322	4514	Es_Ten
CM034722.1	2452777	2452834	C	4550	4600	Es_Ten
CM034722.1	2453347	2453408	C	2653	2714	Es_Ten
CM034722.1	3021005	3023441	+	2054	4514	Es_Ten
CM034722.1	3023355	3023506	+	4338	4514	Es_Ten
CM034722.1	3023388	3023539	+	4338	4514	Es_Ten
CM034722.1	3023454	3023605	+	4338	4514	Es_Ten
CM034722.1	3023519	3023749	+	4338	4609	Es_Ten
CM034722.1	4741210	4746384	C	2	5258	Es_Ten
CM034722.1	14916216	14916837	+	3	624	Es_Ten
CM034722.1	14916836	14921322	+	703	5258	Es_Ten
CM034722.1	22574599	22579258	+	2	4669	Es_Ten
CM034722.1	22579202	22579771	+	4679	5258	Es_Ten
CM034722.1	27889837	27894266	+	2	4436	Es_Ten
CM034722.1	27894153	27894413	+	4401	4669	Es_Ten
CM034722.1	27894358	27894928	+	4679	5258	Es_Ten
CM034722.1	33623886	33628545	+	2	4669	Es_Ten
CM034722.1	33628497	33629068	+	4691	5258	Es_Ten
