query_sequence	position_in_query_begin	position_in_query_end	strand	position_in_repeat_begin	position_in_repeat_end	strain
CM034725.1	5710382	5715575	C	2	5258	SE_Sto
CM034725.1	15339992	15344656	+	2	4669	SE_Sto
CM034725.1	15344598	15345179	+	4679	5258	SE_Sto
CM034725.1	17290867	17291429	C	4679	5258	SE_Sto
CM034725.1	17291378	17293112	C	2926	4669	SE_Sto
CM034725.1	17293104	17295648	C	2	2546	SE_Sto
CM034726.1	13481414	13486080	+	2	4669	SE_Sto
CM034726.1	13486021	13486598	+	4679	5258	SE_Sto
CM034726.1	13587890	13593089	+	3	5258	SE_Sto
CM034726.1	14394897	14399412	+	2	4514	SE_Sto
CM034726.1	14399340	14399438	+	4325	4423	SE_Sto
CM034726.1	14399430	14399854	+	4835	5258	SE_Sto
CM034726.1	22994617	22996914	+	2054	4438	SE_Sto
CM034726.1	22996826	22997012	+	4416	4609	SE_Sto
CM034726.1	23644496	23648547	+	2	4062	SE_Sto
CM034726.1	23648540	23648877	+	4325	4669	SE_Sto
CM034726.1	23648829	23649390	+	4691	5258	SE_Sto
CM034727.1	916835	916893	+	4550	4600	SE_Sto
CM034727.1	928211	928269	+	4550	4600	SE_Sto
CM034727.1	934887	934945	+	4550	4600	SE_Sto
CM034727.1	941566	941624	+	4550	4600	SE_Sto
CM034727.1	3914774	3919472	+	2	4669	SE_Sto
CM034727.1	3919417	3919997	+	4679	5258	SE_Sto
CM034727.1	16254917	16260148	C	3	5258	SE_Sto
CM034727.1	19530882	19536134	C	3	5258	SE_Sto
CM034727.1	19742805	19743386	C	4679	5258	SE_Sto
CM034727.1	19743329	19747990	C	3	4669	SE_Sto
CM034727.1	22345959	22350622	+	2	4670	SE_Sto
CM034727.1	22350562	22351130	+	4679	5258	SE_Sto
CM034727.1	23891179	23891279	+	14	106	SE_Sto
CM034727.1	23891226	23891849	+	2	624	SE_Sto
CM034727.1	23891848	23895806	+	703	4669	SE_Sto
CM034727.1	23895750	23896326	+	4679	5258	SE_Sto
CM034727.1	26175807	26178224	+	2	2423	SE_Sto
CM034727.1	26176225	26180318	+	419	4514	SE_Sto
CM034727.1	26180207	26181073	+	4325	5258	SE_Sto
CM034728.1	19517113	19517692	C	4679	5258	SE_Sto
CM034728.1	19517636	19517973	C	4325	4669	SE_Sto
CM034728.1	19517862	19522375	C	1	4514	SE_Sto
CM034728.1	23234833	23235402	C	4691	5258	SE_Sto
CM034728.1	23235353	23239970	C	2	4669	SE_Sto
CM034728.1	23942882	23942962	+	4536	4608	SE_Sto
CM034728.1	26310573	26311944	+	3033	4413	SE_Sto
CM034728.1	26311858	26312055	+	4402	4609	SE_Sto
CM034728.1	27974457	27974687	+	4322	4514	SE_Sto
CM034728.1	27985024	27985254	+	4322	4514	SE_Sto
CM034728.1	28768885	28773189	+	93	4477	SE_Sto
CM034728.1	28773049	28773287	+	4363	4609	SE_Sto
CM034729.1	1797220	1799287	+	2	2073	SE_Sto
CM034729.1	1797288	1801273	+	70	4062	SE_Sto
CM034729.1	1801261	1801565	+	4359	4669	SE_Sto
CM034729.1	1801516	1802079	+	4691	5258	SE_Sto
CM034729.1	2278161	2280601	+	2054	4516	SE_Sto
CM034729.1	2280513	2280679	+	4338	4514	SE_Sto
CM034729.1	2280546	2280712	+	4338	4514	SE_Sto
CM034729.1	2280626	2280861	+	4338	4609	SE_Sto
CM034729.1	2443953	2446388	+	2054	4514	SE_Sto
CM034729.1	2446302	2446453	+	4338	4514	SE_Sto
CM034729.1	2446335	2446486	+	4338	4514	SE_Sto
CM034729.1	2446401	2446552	+	4338	4514	SE_Sto
CM034729.1	2446466	2446696	+	4338	4609	SE_Sto
CM034729.1	8981966	8987162	C	2	5258	SE_Sto
CM034729.1	18289064	18289617	C	4679	5258	SE_Sto
CM034729.1	18289560	18294225	C	2	4670	SE_Sto
CM034729.1	29548892	29549462	C	4679	5258	SE_Sto
CM034729.1	29549406	29554063	C	2	4669	SE_Sto
